STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
44,1,30100,1400000US44001030100,44001030100,301.0,Bristol,RI,Rhode Island,"Census Tract 301, Bristol County, Rhode Island",4362.0,192.0,2294.0,0.5464,0.1121,0.3464,0.0736,0.7884,0.113,0.4295,0.163,1.4939,0.3352,0.0,0.7753,0.0,0.0,0.0,0.0,0.7753,0.4753,0.3853,0.6697,0.4403,1.4953,0.4394,0.0,0.5092,0.0,0.5092,0.1696,0.7289,0.7289,0.7289,5.0026,0.2892,0.223,0.223,0.223,0.2178,0.2025,0.1343,0.1481,0.5276,0.0409,0.2928,1.564,0.1231,0.6796,0.7724,0.2283,0.0,1.6803,0.2393,0.0,0.0,0.0,0.0,3.4673,0.0572,0.0,0.0,1.0,0.0,0.0,1.0,0.2,3.0,6.91,0.35,22.97,0.0,84.64,0.0,0.0,0.0,0.0,100.0,75.28,10.17,0.0,53.38,0.0,86.79,11.0,16.2769,4.5,2.2,13.5,27.0542,1.2,10.8,18.7,26.3,8.8,0.0,0.0,0.0,29.5,10.0,8.5,10.5,8.4,0.355,0.5713,0.8794,0.2073,0.1216
44,1,30200,1400000US44001030200,44001030200,302.0,Bristol,RI,Rhode Island,"Census Tract 302, Bristol County, Rhode Island",3258.0,194.0,4482.0,0.4706,0.0836,0.2706,0.0466,0.7467,0.1115,0.4441,0.1685,1.4708,0.3254,0.0,0.471,0.0,0.0,0.0,0.0,0.471,0.3096,0.4101,0.8034,0.2056,1.4191,0.3668,0.0,0.7123,0.0,0.7123,0.2848,0.6602,0.6602,0.6601,4.7334,0.2322,0.2492,0.2492,0.2492,0.1225,0.1604,0.2424,0.2731,0.1272,0.2059,0.33,1.4615,0.1076,0.4826,0.5094,0.1628,0.3205,1.4753,0.1344,0.0,0.0,0.0,0.0,3.186,0.0384,0.0,0.0,1.0,0.0,0.0,1.0,0.2,2.67,6.9,0.36,23.14,0.0,10.61,0.0,0.0,0.0,0.0,98.83,85.42,13.72,0.0,95.9,0.0,75.43,12.4,11.4487,3.8,3.0,19.5,15.8285,3.4,11.8,15.4,22.2,7.8,0.5,0.0,0.0,28.7,9.7,8.0,10.7,8.0,0.3085,0.4859,0.7983,0.1638,0.1393
44,1,30300,1400000US44001030300,44001030300,303.0,Bristol,RI,Rhode Island,"Census Tract 303, Bristol County, Rhode Island",4436.0,189.0,2083.0,0.5588,0.1178,0.3588,0.0792,0.7467,0.113,0.4295,0.1615,1.4507,0.3172,0.0,0.5598,0.0,0.0,0.0,0.0,0.5598,0.3524,0.446,0.7489,0.6974,1.8923,0.7479,0.0,0.609,0.0,0.609,0.2217,0.592,0.592,0.592,5.1038,0.3115,0.1932,0.1932,0.1932,0.0578,0.0493,0.3157,0.0843,0.1166,0.0409,0.0572,0.7218,0.0239,0.5377,0.8533,0.0901,0.4203,1.9014,0.4063,0.0,0.5072,0.5072,0.2492,3.3236,0.0473,0.0,0.0,1.0,0.0,0.0,1.0,0.2,2.67,6.91,0.35,22.92,0.0,24.95,0.0,0.0,0.0,0.0,93.73,81.43,6.78,0.0,75.69,0.0,63.14,9.5,7.5744,1.7,3.5,9.9,15.4903,1.2,3.9,16.3,28.2,6.4,0.9,0.0,0.3,27.6,9.3,8.1,9.5,7.5,0.249,0.3679,0.8173,0.118,0.0555
44,1,30400,1400000US44001030400,44001030400,304.0,Bristol,RI,Rhode Island,"Census Tract 304, Bristol County, Rhode Island",4075.0,186.0,1999.0,0.5215,0.1021,0.3215,0.0638,0.8187,0.1003,0.3702,0.1464,1.4356,0.3108,0.0,0.5568,0.0,0.0,0.0,0.0,0.5568,0.3509,0.5284,0.7754,0.4835,1.7873,0.6777,0.0,0.5938,0.0,0.5938,0.2126,0.6887,0.6887,0.6887,5.0622,0.3024,0.2019,0.2019,0.2019,0.0221,0.0451,0.0712,0.0076,0.0785,0.0,0.0265,0.251,0.0014,0.4767,0.8905,0.1346,0.2881,1.7899,0.3159,0.0,0.5527,0.5527,0.2891,2.7955,0.0191,0.0,0.0,1.0,0.0,0.0,1.0,0.2,3.33,6.81,0.31,22.42,0.0,24.39,0.0,0.0,0.0,0.0,71.78,83.37999999999998,9.39,0.0,72.31999999999998,0.0,81.11,9.9,4.319,1.6,1.6,2.5,13.9551,0.0,2.5,15.3,29.4,7.3,0.4,0.0,0.4,27.9,9.2,8.6,9.0,7.4,0.264,0.3389,0.8908,0.1101,0.0324
44,1,30500,1400000US44001030500,44001030500,305.0,Bristol,RI,Rhode Island,"Census Tract 305, Bristol County, Rhode Island",3136.0,228.0,2244.0,1.2212,0.4809,0.8212,0.3719,0.8187,0.0992,0.3993,0.1474,1.4646,0.3229,0.0,0.8577,0.0,0.0,0.0,0.0,0.8577,0.5172,1.0,0.8786,0.0133,1.8919,0.7475,0.0,0.7666,0.0,0.7666,0.3209,0.5259,0.5259,0.5259,5.5067,0.4025,0.1169,0.1169,0.1169,0.6571,0.6495,0.537,0.9029,0.8404,0.1073,0.5879,4.2821,0.6715,0.3978,0.1654,0.7848,0.0,1.348,0.0926,0.0,0.5876,0.5876,0.316,6.3346,0.4187,0.0,1.0,0.0,1.0,0.0,2.0,0.4,3.33,6.8,0.33,22.45,0.0,100.0,0.0,0.0,0.0,0.0,0.0,90.58,17.33,0.0,100.0,0.0,52.03,6.0,38.4714,13.6,5.1,71.3,40.8364,2.2,19.1,14.0,16.3,17.5,0.0,0.0,0.5,27.7,11.8,6.2,16.8,9.3,0.2541,0.8887,0.3868,0.319,0.7826
44,1,30601,1400000US44001030601,44001030601,306.01,Bristol,RI,Rhode Island,"Census Tract 306.01, Bristol County, Rhode Islan",3375.0,177.0,3524.0,0.9199,0.3061,0.5199,0.1597,0.7884,0.0959,0.3993,0.149,1.4326,0.3096,0.0,0.6879,0.0,0.0,0.0,0.0,0.6879,0.425,0.7688,0.52,0.6214,1.9102,0.7597,0.0,0.3287,0.0,0.3287,0.1089,0.5341,0.5341,0.5341,4.8935,0.2665,0.0999,0.0999,0.0999,0.1379,0.3525,0.1993,0.3329,0.5272,0.1808,0.2546,1.9852,0.1917,0.8412,0.3011,0.4676,0.3205,1.9304,0.4308,0.4558,0.7789,1.2347,0.7458,5.2502,0.2534,0.0,1.0,1.0,0.0,0.0,2.0,0.4,3.0,6.77,0.33,22.5,0.0,58.56,0.0,0.0,0.0,0.0,8.26,63.16,7.61,0.0,20.39,0.0,53.82,5.3,12.2807,7.0,2.7,22.4,27.045,3.1,9.8,22.4,19.2,12.1,0.5,0.5,1.9,31.2,10.5,8.1,12.7,9.1,0.4583,0.6964,0.8173,0.293,0.3505
44,1,30602,1400000US44001030602,44001030602,306.02,Bristol,RI,Rhode Island,"Census Tract 306.02, Bristol County, Rhode Islan",3977.0,250.0,2224.0,1.2461,0.4956,0.8461,0.3921,0.7884,0.0939,0.3993,0.1429,1.4245,0.3064,0.0,0.7961,0.0,0.0,0.0,0.0,0.7961,0.4862,1.0,0.6771,0.1756,1.8527,0.7227,0.0,0.6949,0.0,0.6949,0.2733,0.584,0.584,0.584,5.3522,0.3671,0.1094,0.1094,0.1094,0.3496,0.6252,0.4029,0.6306,0.5302,0.1467,0.6849,3.3701,0.4744,0.9143,0.1007,0.7888,0.5837,2.3875,0.8021,0.0,0.8396,0.8396,0.5077,6.7066,0.479,0.0,1.0,1.0,0.0,0.0,2.0,0.4,3.0,6.75,0.33,22.3,0.0,90.41,0.0,0.0,0.0,0.0,0.0,75.84999999999998,14.08,0.0,93.26,0.0,61.62,5.7,22.6783,12.9,4.1,40.7,27.1436,2.7,22.3,25.6,13.8,17.6,2.0,0.0,2.9,33.4,10.6,9.4,12.5,10.3,0.5882,0.718,0.9497,0.4476,0.3268
44,1,30700,1400000US44001030700,44001030700,307.0,Bristol,RI,Rhode Island,"Census Tract 307, Bristol County, Rhode Island",3412.0,436.0,2996.0,1.043,0.3803,0.843,0.3898,0.8187,0.0747,0.3551,0.121,1.3695,0.2843,0.0,0.8577,0.0,0.0,0.0,0.0,0.8577,0.5172,0.3853,0.8176,0.1654,1.3683,0.3185,0.0,0.7666,0.0,0.7666,0.3209,0.3547,0.3547,0.3547,4.7168,0.2291,0.2054,0.2054,0.2054,0.6198,0.6588,0.7959,0.8911,0.7986,0.4964,0.4549,4.7155,0.7544,0.674,0.1062,0.7716,0.6129,2.1647,0.6381,0.0,0.4452,0.4452,0.1995,7.5308,0.6139,0.0,1.0,0.0,0.0,0.0,1.0,0.2,3.33,6.57,0.3,21.54,0.0,100.0,0.0,0.0,0.0,0.0,100.0,86.43,14.21,0.0,100.0,0.0,26.79,10.1,36.2544,13.9,8.1,69.3,38.2772,7.0,15.2,18.6,14.1,17.2,2.3,0.0,0.2,29.1,11.3,7.4,14.8,9.0,0.3316,0.836,0.6609,0.2798,0.5944
44,1,30800,1400000US44001030800,44001030800,308.0,Bristol,RI,Rhode Island,"Census Tract 308, Bristol County, Rhode Island",6289.0,460.0,8462.0,0.9374,0.3164,0.5374,0.1702,0.8187,0.0711,0.3551,0.1086,1.3535,0.2786,0.0,0.6831,0.0,0.0,0.0,0.0,0.6831,0.4219,0.543,0.7286,0.3057,1.5773,0.5144,0.0,0.6091,0.0,0.6091,0.2218,0.4475,0.4475,0.4475,4.6705,0.2194,0.1829,0.1829,0.1829,0.4461,0.7247,0.2275,0.5911,0.6968,0.1896,0.6255,3.5013,0.504,0.3509,0.0463,0.1814,0.4409,1.0195,0.0385,0.0,0.9884,0.9884,0.6574,5.6921,0.318,0.0,1.0,0.0,1.0,0.0,2.0,0.4,3.33,6.53,0.3,21.13,0.0,57.04,0.0,0.0,0.0,0.0,67.23,79.79999999999998,12.46,0.0,75.73999999999998,0.0,39.65,9.0,27.2727,16.2,2.9,37.8,33.2464,3.2,20.3,13.2,9.0,8.1,1.0,0.0,45.4,21.1,11.5,5.0,16.3,6.2,0.0448,0.8594,0.1785,0.0467,0.7418
44,1,30901,1400000US44001030901,44001030901,309.01,Bristol,RI,Rhode Island,"Census Tract 309.01, Bristol County, Rhode Islan",5903.0,420.0,2442.0,0.5634,0.1199,0.3634,0.0813,0.8187,0.0808,0.3551,0.1204,1.375,0.2865,0.0,0.7662,0.0,0.0,0.0,0.0,0.7662,0.4703,0.7402,0.4775,0.387,1.6047,0.5374,0.0,0.3128,0.0,0.3128,0.1043,0.5298,0.5298,0.5298,4.5885,0.2041,0.1169,0.1169,0.1169,0.1407,0.6215,0.1223,0.0972,0.3184,0.0409,0.3264,1.6674,0.1394,0.8378,0.1912,0.2076,0.6298,1.8664,0.3766,0.0,0.8574,0.8574,0.521,4.5081,0.1593,0.0,1.0,0.0,0.0,0.0,1.0,0.2,3.33,6.63,0.3,21.52,0.0,82.12,0.0,0.0,0.0,0.0,12.94,59.63,11.17,0.0,18.04,0.0,52.94,6.0,12.4254,12.8,2.1,10.7,21.2626,1.2,11.7,22.3,17.0,8.5,2.5,0.0,3.3,29.3,10.4,7.4,13.0,8.7,0.3432,0.6732,0.6609,0.242,0.3852
