ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
44,Rhode Island,RI,44001,Bristol County,44001030100,Census Tract 301; Bristol County; Rhode Island,1.666121250072,4768,481,1801,177,1734,172,509,306,61,62,417,147,105,64,38,37,760,113,1272,209,367,109,181,129,51,67,881,678,166,69,0,14,31,36,59,47,49,4,10.8,6.4,2.6,2.6,24.0,8.1,3.2,1.9,0.8,0.8,15.9,2.4,26.7,3.2,7.8,2.2,10.4,7.4,1.1,1.5,18.5,14.1,9.2,3.7,0.0,2.6,1.8,2.0,3.4,2.6,1.0,0.1,0.3143,0.1673,0.3633,0.151,0.0735,1.0694,0.102,0.3959,0.898,0.0571,0.8082,0.4122,2.5714,0.551,0.449,0.449,0.449,0.502,0.0,0.6408,0.2939,0.5265,1.9632,0.4286,6.053,0.2898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2738,114,62,4,7,401,152,312,180,17,33,0,14,147,101,0,14,6.6,3.6,0.1,0.1,8.4,3.3,6.5,3.7,0.4,0.7,0.0,1.0,3.1,2.1,0.0,1.0
44,Rhode Island,RI,44001,Bristol County,44001030200,Census Tract 302; Bristol County; Rhode Island,1.643928493214,3393,397,1294,187,1267,189,148,88,93,61,178,85,53,37,84,58,413,78,911,166,224,90,116,57,2,54,443,574,0,19,0,14,0,19,32,33,28,6,4.4,2.5,4.6,3.0,14.0,6.4,2.3,1.6,2.5,1.7,12.2,2.6,26.8,3.4,6.6,2.8,9.2,4.3,0.1,1.7,13.1,16.8,0.0,1.5,0.0,3.6,0.0,1.5,2.5,2.6,0.8,0.2,0.0449,0.3796,0.0816,0.0694,0.351,0.9265,0.0857,0.2204,0.902,0.0327,0.7633,0.102,2.0204,0.2531,0.3388,0.3388,0.3388,0.0,0.0,0.0,0.2122,0.502,0.7142,0.0653,3.9999,0.0531,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5113,62,46,0,14,241,132,59,60,0,14,0,14,136,100,7,13,4.9,3.7,0.0,1.4,7.1,3.9,1.7,1.8,0.0,1.4,0.0,1.4,4.0,3.0,0.2,0.4
44,Rhode Island,RI,44001,Bristol County,44001030300,Census Tract 303; Bristol County; Rhode Island,2.342381991888,4642,389,1803,162,1634,158,414,217,60,44,290,127,46,32,93,61,777,176,1219,178,415,135,72,50,12,55,533,566,0,19,0,14,0,19,12,17,20,3,8.9,4.6,2.4,1.8,17.7,7.6,1.4,1.0,2.0,1.3,16.7,3.7,26.3,3.0,9.0,2.8,4.4,3.0,0.3,1.3,11.5,12.2,0.0,1.1,0.0,2.6,0.0,1.1,0.7,1.1,0.4,0.1,0.2367,0.151,0.1429,0.0245,0.2204,0.7755,0.0612,0.449,0.8898,0.151,0.449,0.1755,2.1143,0.3224,0.2816,0.2816,0.2816,0.0,0.0,0.0,0.0449,0.3469,0.3918,0.0122,3.5632,0.0163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,100,48,39,31,100,110,234,172,0,14,0,14,128,76,32,52,6.1,2.8,0.8,0.7,2.2,2.3,5.0,3.7,0.0,1.0,0.0,1.0,2.8,1.7,0.7,1.1
44,Rhode Island,RI,44001,Bristol County,44001030400,Census Tract 304; Bristol County; Rhode Island,2.532285102282,4318,483,1541,162,1418,145,84,88,22,23,83,47,22,29,0,14,714,132,1358,251,158,74,67,52,14,58,233,690,0,19,0,14,0,19,6,10,22,4,1.9,2.0,1.1,1.1,5.9,3.3,0.8,1.1,0.0,1.1,16.5,3.5,31.4,3.7,3.7,1.7,4.7,3.6,0.3,1.4,5.4,16.0,0.0,1.2,0.0,3.0,0.0,1.2,0.4,0.7,0.5,0.1,0.0041,0.0286,0.0,0.0041,0.0,0.0368,0.0,0.4408,0.9714,0.0,0.4898,0.1755,2.0775,0.298,0.0939,0.0939,0.0939,0.0,0.0,0.0,0.0204,0.4,0.4204,0.0163,2.6286,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2355,41,49,2,16,33,41,132,119,0,14,0,14,66,62,0,14,2.9,3.5,0.0,0.4,0.8,1.0,3.1,2.7,0.0,1.1,0.0,1.1,1.5,1.4,0.0,1.1
44,Rhode Island,RI,44001,Bristol County,44001030500,Census Tract 305; Bristol County; Rhode Island,0.580549530934,3190,346,1985,217,1827,213,838,252,150,86,786,237,380,186,42,40,768,242,220,88,573,175,80,58,193,171,255,498,177,59,0,14,25,27,387,216,18,5,26.6,7.5,8.5,4.9,43.0,12.0,13.3,6.2,1.3,1.2,24.1,6.6,6.9,2.6,18.0,5.3,4.4,3.1,6.1,5.4,8.0,15.6,8.9,2.8,0.0,2.4,1.3,1.4,21.2,10.5,0.6,0.1,0.7673,0.7592,0.8735,0.7306,0.1347,3.2653,0.7306,0.8,0.0367,0.8204,0.449,0.7796,2.8857,0.7184,0.1673,0.1673,0.1673,0.4776,0.0,0.5714,0.8939,0.4531,2.396,0.6,8.7143,0.6939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2549,268,175,30,34,118,144,18,27,0,14,0,14,89,59,0,14,14.7,8.8,0.9,1.1,3.7,4.5,0.6,0.8,0.0,1.5,0.0,1.5,2.8,1.9,0.0,1.5
44,Rhode Island,RI,44001,Bristol County,44001030601,Census Tract 306.01; Bristol County; Rhode Island,4.27964337146,3667,422,1558,156,1314,147,242,116,94,60,164,75,220,129,195,145,762,131,582,109,413,141,7,19,9,56,319,621,71,41,0,14,0,19,13,19,52,2,6.7,3.1,3.9,2.4,12.5,5.5,8.2,4.3,5.4,3.8,20.8,3.8,15.9,3.0,11.4,4.0,0.5,1.4,0.3,1.6,8.7,16.9,4.5,2.6,0.0,3.0,0.0,1.2,1.0,1.4,1.4,0.2,0.1592,0.2939,0.049,0.4857,0.7429,1.7307,0.2653,0.6776,0.2939,0.3551,0.049,0.1755,1.5511,0.0857,0.1878,0.1878,0.1878,0.3306,0.0,0.0,0.0776,0.6204,1.0286,0.098,4.4982,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3709,82,48,36,35,143,94,32,40,0,14,0,14,108,81,0,14,6.2,3.4,1.0,1.0,3.9,2.6,0.9,1.1,0.0,1.3,0.0,1.3,2.9,2.2,0.0,1.3
44,Rhode Island,RI,44001,Bristol County,44001030602,Census Tract 306.02; Bristol County; Rhode Island,1.298061796532,4260,443,2061,203,1865,212,587,198,144,77,480,138,232,89,84,69,1331,315,514,149,577,155,36,36,10,56,368,626,342,138,0,14,0,19,276,127,155,12,14.1,4.5,6.3,3.4,25.7,6.8,6.7,2.8,2.0,1.7,31.2,5.9,12.1,3.5,13.9,3.7,1.9,1.9,0.2,1.4,8.6,14.7,16.6,6.5,0.0,2.3,0.0,0.9,14.8,6.2,3.6,0.5,0.4694,0.5918,0.4204,0.3796,0.2204,2.0816,0.3796,0.9388,0.1061,0.5837,0.1673,0.1388,1.9347,0.2041,0.1796,0.1796,0.1796,0.7265,0.0,0.0,0.7714,0.8327,2.3306,0.5796,6.5265,0.3633,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2355,294,129,107,103,108,71,0,14,0,14,0,14,100,64,53,51,15.8,6.6,2.5,2.4,2.5,1.6,0.0,1.1,0.0,1.1,0.0,1.1,2.3,1.5,1.2,1.2
44,Rhode Island,RI,44001,Bristol County,44001030700,Census Tract 307; Bristol County; Rhode Island,0.419815268334,2980,551,2033,232,1436,215,933,379,151,131,551,184,135,86,114,95,490,141,553,229,499,164,136,139,83,76,742,712,390,170,0,14,0,19,327,137,15,4,31.3,11.3,8.7,7.4,38.4,11.5,6.2,4.0,3.8,3.1,16.4,4.8,18.6,5.7,16.7,5.5,9.5,9.6,2.9,2.6,24.9,23.4,19.1,8.1,0.0,2.3,0.0,0.9,22.8,9.0,0.5,0.1,0.8367,0.7837,0.8163,0.3551,0.5551,3.3469,0.7551,0.4286,0.502,0.7429,0.7796,0.6408,3.0939,0.7959,0.5673,0.5673,0.5673,0.7755,0.0,0.0,0.9143,0.4,2.0898,0.502,9.0979,0.7388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3231,226,114,68,71,148,106,316,291,6,13,0,14,175,103,29,46,15.7,7.6,2.3,2.3,5.0,3.5,10.6,9.5,0.2,0.4,0.0,1.6,5.9,3.4,1.0,1.6
44,Rhode Island,RI,44001,Bristol County,44001030800,Census Tract 308; Bristol County; Rhode Island,2.309783400028,6277,444,1962,237,1706,270,207,83,148,98,296,96,253,113,152,124,916,172,524,150,572,148,40,39,39,76,581,628,178,124,0,20,0,28,17,20,2864,59,6.0,2.3,4.7,3.0,17.4,4.9,9.1,4.1,2.4,2.0,14.6,2.6,8.3,2.2,9.1,2.3,2.4,2.3,0.6,1.2,9.3,10.0,9.1,6.2,0.0,2.4,0.0,1.4,1.0,1.2,45.6,3.4,0.1102,0.4082,0.1347,0.5265,0.3265,1.5061,0.2122,0.3347,0.0612,0.1592,0.2367,0.2857,1.0775,0.0204,0.2082,0.2082,0.2082,0.4939,0.0,0.0,0.0776,0.9755,1.547,0.2612,4.3388,0.0776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8475,123,72,128,61,108,60,44,35,5,9,0,20,296,161,0,20,7.2,4.6,2.0,1.0,1.7,1.0,0.7,0.6,0.1,0.2,0.0,0.8,4.7,2.5,0.0,0.8
44,Rhode Island,RI,44001,Bristol County,44001030901,Census Tract 309.01; Bristol County; Rhode Island,2.510866093832,6435,831,2236,161,2236,161,348,186,47,47,430,198,619,412,111,137,1234,171,1169,243,495,184,24,42,150,128,198,1171,44,67,0,20,11,29,0,20,207,9,5.6,2.9,1.4,1.4,19.2,8.7,12.8,7.2,1.8,2.2,19.2,2.4,18.2,2.5,7.9,3.2,1.1,1.9,2.5,2.1,3.1,18.2,2.0,3.0,0.0,2.1,0.5,1.3,0.0,2.1,3.2,0.4,0.0816,0.049,0.2082,0.7061,0.1878,1.2327,0.1347,0.5878,0.4816,0.0694,0.102,0.5918,1.8326,0.1714,0.0204,0.0204,0.0204,0.2082,0.0,0.3837,0.0,0.8041,1.396,0.2,4.4817,0.0939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390,177,129,8,19,138,101,35,41,0,20,0,20,17,27,0,20,7.9,5.7,0.1,0.3,2.1,1.6,0.5,0.6,0.0,0.7,0.0,0.7,0.3,0.4,0.0,0.7
44,Rhode Island,RI,44001,Bristol County,44001030902,Census Tract 309.02; Bristol County; Rhode Island,4.54823715827,6728,664,3201,271,2736,236,690,278,141,91,686,214,320,157,128,88,1983,271,882,221,915,427,111,90,22,84,583,944,215,166,0,20,0,28,46,56,539,47,11.1,4.3,4.1,2.6,25.1,7.5,6.2,2.8,2.0,1.3,29.5,4.6,13.1,3.0,14.1,5.9,4.0,3.3,0.3,1.3,8.7,14.0,6.7,5.2,0.0,1.5,0.0,0.9,1.7,2.1,8.0,1.1,0.3224,0.3224,0.3959,0.3551,0.2204,1.6162,0.2367,0.9143,0.1347,0.6,0.3918,0.1755,2.2163,0.3551,0.1878,0.1878,0.1878,0.4163,0.0,0.0,0.1347,0.9265,1.4775,0.2245,5.4978,0.1878,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,6242,235,119,53,53,190,147,47,45,0,20,0,20,269,169,24,56,8.6,4.2,0.8,0.8,2.8,2.1,0.7,0.7,0.0,0.7,0.0,0.7,4.0,2.5,0.4,0.8
