"","geoid","location","rpl_eji","e_ozone","e_pm","e_dslpm","e_totcr","e_npl","e_tri","e_tsd","e_rmp","e_coal","e_lead","e_park","e_houage","e_wlkind","e_rail","e_road","e_airprt","e_impwtr","ep_minrty","ep_pov200","ep_nohsdp","ep_unemp","ep_renter","ep_houbdn","ep_uninsur","ep_noint","ep_age65","ep_age17","ep_disabl","ep_limeng","ep_mobile","ep_groupq","ep_bphigh","ep_asthma","ep_cancer","ep_mhlth","ep_diabetes"
"1","44001030100","Census Tract 301, Bristol County, Rhode Island",0.1121,3,6.91,0.35,22.97,0,84.64,0,0,0,0,100,75.28,10.17,0,53.38,0,86.79,11,16.2769,4.5,2.2,13.5,27.0542,1.2,10.8,18.7,26.3,8.8,0,0,0,29.5,10,8.5,10.5,8.4
"2","44001030200","Census Tract 302, Bristol County, Rhode Island",0.0836,2.67,6.9,0.36,23.14,0,10.61,0,0,0,0,98.83,85.42,13.72,0,95.9,0,75.43,12.4,11.4487,3.8,3,19.5,15.8285,3.4,11.8,15.4,22.2,7.8,0.5,0,0,28.7,9.7,8,10.7,8
"3","44001030300","Census Tract 303, Bristol County, Rhode Island",0.1178,2.67,6.91,0.35,22.92,0,24.95,0,0,0,0,93.73,81.43,6.78,0,75.69,0,63.14,9.5,7.5744,1.7,3.5,9.9,15.4903,1.2,3.9,16.3,28.2,6.4,0.9,0,0.3,27.6,9.3,8.1,9.5,7.5
"4","44001030400","Census Tract 304, Bristol County, Rhode Island",0.1021,3.33,6.81,0.31,22.42,0,24.39,0,0,0,0,71.78,83.38,9.39,0,72.32,0,81.11,9.9,4.319,1.6,1.6,2.5,13.9551,0,2.5,15.3,29.4,7.3,0.4,0,0.4,27.9,9.2,8.6,9,7.4
"5","44001030500","Census Tract 305, Bristol County, Rhode Island",0.4809,3.33,6.8,0.33,22.45,0,100,0,0,0,0,0,90.58,17.33,0,100,0,52.03,6,38.4714,13.6,5.1,71.3,40.8364,2.2,19.1,14,16.3,17.5,0,0,0.5,27.7,11.8,6.2,16.8,9.3
"6","44001030601","Census Tract 306.01, Bristol County, Rhode Islan",0.3061,3,6.77,0.33,22.5,0,58.56,0,0,0,0,8.26,63.16,7.61,0,20.39,0,53.82,5.3,12.2807,7,2.7,22.4,27.045,3.1,9.8,22.4,19.2,12.1,0.5,0.5,1.9,31.2,10.5,8.1,12.7,9.1
"7","44001030602","Census Tract 306.02, Bristol County, Rhode Islan",0.4956,3,6.75,0.33,22.3,0,90.41,0,0,0,0,0,75.85,14.08,0,93.26,0,61.62,5.7,22.6783,12.9,4.1,40.7,27.1436,2.7,22.3,25.6,13.8,17.6,2,0,2.9,33.4,10.6,9.4,12.5,10.3
"8","44001030700","Census Tract 307, Bristol County, Rhode Island",0.3803,3.33,6.57,0.3,21.54,0,100,0,0,0,0,100,86.43,14.21,0,100,0,26.79,10.1,36.2544,13.9,8.1,69.3,38.2772,7,15.2,18.6,14.1,17.2,2.3,0,0.2,29.1,11.3,7.4,14.8,9
"9","44001030800","Census Tract 308, Bristol County, Rhode Island",0.3164,3.33,6.53,0.3,21.13,0,57.04,0,0,0,0,67.23,79.8,12.46,0,75.74,0,39.65,9,27.2727,16.2,2.9,37.8,33.2464,3.2,20.3,13.2,9,8.1,1,0,45.4,21.1,11.5,5,16.3,6.2
"10","44001030901","Census Tract 309.01, Bristol County, Rhode Islan",0.1199,3.33,6.63,0.3,21.52,0,82.12,0,0,0,0,12.94,59.63,11.17,0,18.04,0,52.94,6,12.4254,12.8,2.1,10.7,21.2626,1.2,11.7,22.3,17,8.5,2.5,0,3.3,29.3,10.4,7.4,13,8.7
"11","44001030902","Census Tract 309.02, Bristol County, Rhode Islan",0.1684,3.33,6.63,0.29,21.93,0,77.54,0,0,0,0,72.41,51.64,11.46,0,81.72,0,54.89,9.4,17.1101,9.6,2.9,24.7,29.1667,0.9,13.6,27.5,18.7,7.8,1.3,0,8.4,32.5,10.2,9.5,11.6,9.4
