"","fips","location","rpl_themes","e_pov150","e_unemp","e_hburd","e_nohsdp","e_uninsur","e_age65","e_age17","e_disabl","e_sngpnt","e_limeng","e_minrty","e_munit","e_mobile","e_crowd","e_noveh","e_groupq"
"1","44001030100","Census Tract 301; Bristol County; Rhode Island",0.2898,509,61,417,105,38,760,1272,367,181,51,881,166,0,31,59,49
"2","44001030200","Census Tract 302; Bristol County; Rhode Island",0.0531,148,93,178,53,84,413,911,224,116,2,443,0,0,0,32,28
"3","44001030300","Census Tract 303; Bristol County; Rhode Island",0.0163,414,60,290,46,93,777,1219,415,72,12,533,0,0,0,12,20
"4","44001030400","Census Tract 304; Bristol County; Rhode Island",0,84,22,83,22,0,714,1358,158,67,14,233,0,0,0,6,22
"5","44001030500","Census Tract 305; Bristol County; Rhode Island",0.6939,838,150,786,380,42,768,220,573,80,193,255,177,0,25,387,18
"6","44001030601","Census Tract 306.01; Bristol County; Rhode Island",0.098,242,94,164,220,195,762,582,413,7,9,319,71,0,0,13,52
"7","44001030602","Census Tract 306.02; Bristol County; Rhode Island",0.3633,587,144,480,232,84,1331,514,577,36,10,368,342,0,0,276,155
"8","44001030700","Census Tract 307; Bristol County; Rhode Island",0.7388,933,151,551,135,114,490,553,499,136,83,742,390,0,0,327,15
"9","44001030800","Census Tract 308; Bristol County; Rhode Island",0.0776,207,148,296,253,152,916,524,572,40,39,581,178,0,0,17,2864
"10","44001030901","Census Tract 309.01; Bristol County; Rhode Island",0.0939,348,47,430,619,111,1234,1169,495,24,150,198,44,0,11,0,207
"11","44001030902","Census Tract 309.02; Bristol County; Rhode Island",0.1878,690,141,686,320,128,1983,882,915,111,22,583,215,0,0,46,539
"12","44003020101","Census Tract 201.01; Kent County; Rhode Island",0.6204,990,244,833,587,149,1580,1073,942,278,203,1429,1000,0,83,251,5
"13","44003020102","Census Tract 201.02; Kent County; Rhode Island",0.6286,897,179,805,193,193,1255,820,826,44,0,1144,468,0,44,120,105
"14","44003020200","Census Tract 202; Kent County; Rhode Island",0.649,740,73,609,276,364,730,1085,689,224,25,920,767,0,91,275,25
"15","44003020300","Census Tract 203; Kent County; Rhode Island",0.6408,1719,74,1257,480,43,888,1176,1160,226,120,629,481,0,71,537,14
"16","44003020400","Census Tract 204; Kent County; Rhode Island",0.5633,647,127,431,432,217,421,568,337,88,34,552,0,0,124,51,14
"17","44003020500","Census Tract 205; Kent County; Rhode Island",0.3306,498,105,618,173,226,773,564,499,44,10,1283,220,0,27,178,27
